N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;8;0;0;25;6,8;5;300;1;0;29/03/2018;1 Est;143;1;26,5;SO
2;9,5;0;0;28;4,5;5;280;1;0;29/03/2018;1 Est;143;1;26,5;SO
3;11,5;0;42,2;55,3;13;4;270;1;0;29/03/2018;1 Est;143;1;26,5;SO
4;19;0;0;45,8;1,4;5;270;0;0;29/03/2018;1 Est;143;1;26,5;SO
5;35;59;18;15,8;7;1;60;0;0;29/03/2018;1 Est;143;1;26,5;SO
6;56;0;0;16,7;8;5;190;1;0;29/03/2018;1 Est;143;1;26,5;SO
7;65;0;0;30;2,5;4;160;1;0;29/03/2018;1 Est;143;1;26,5;SO
8;66;0;0;24,5;10,8;4;160;1;0;29/03/2018;1 Est;143;1;26,5;SO
9;75;0;0;33;1,5;4;300;1;0;29/03/2018;1 Est;143;1;26,5;SO
10;79;0;0;50;1,7;4;150;0;0;29/03/2018;1 Est;143;1;26,5;SO
11;86;0;76;72;11;4;150;1;0;29/03/2018;1 Est;143;1;26,5;SO
12;91;0;0;16;3,9;4;180;1;0;29/03/2018;1 Est;143;1;26,5;SO
13;91,5;0;0;16,8;0,98;5;330;0;0;29/03/2018;1 Est;143;1;26,5;SO
14;105;0;0;30;4;5;220;1;0;29/03/2018;1 Est;143;1;26,5;SO
1;49;0;14,5;15,3;2;4;270;0;0;29/03/2018;1 Est;143;2;296,5;SE
2;54;58;17;16,5;6,8;1;210;0;0;29/03/2018;1 Est;143;2;296,5;SE
3;57;0;17,5;19,7;10;3;150;1;0;29/03/2018;1 Est;143;2;296,5;SE
4;79;0;0;15,8;28;5;0;1;0;29/03/2018;1 Est;143;2;296,5;SE
5;95;0;0;40,6;5,5;4;320;1;1;29/03/2018;1 Est;143;2;296,5;SE
1;45;0;13,5;13;6;1;30;0;0;29/03/2018;1 Est;143;3;206,5;NE
2;82;0;0;40;4;5;140;1;0;29/03/2018;1 Est;143;3;206,5;NE
3;96;0;0;35,5;6,5;5;0;1;0;29/03/2018;1 Est;143;3;206,5;NE
1;25;0;16,6;13,6;1,3;4;120;0;0;29/03/2018;1 Est;143;4;116,5;NO
2;54;0;0;25,4;1,1;5;120;0;0;29/03/2018;1 Est;143;4;116,5;NO
3;66;0;0;44,8;1,9;5;150;1;0;29/03/2018;1 Est;143;4;116,5;NO
4;68;0;0;69,2;2,4;5;210;0;0;29/03/2018;1 Est;143;4;116,5;NO
5;77;0;23,3;14;1,39;3;0;0;0;29/03/2018;1 Est;143;4;116,5;NO
6;83;0;11;16;0,8;3;280;0;0;29/03/2018;1 Est;143;4;116,5;NO
7;104;0;13;12,5;1,9;2;0;1;0;29/03/2018;1 Est;143;4;116,5;NO
8;106;0;28;28,2;11,8;2;0;1;0;29/03/2018;1 Est;143;4;116,5;NO
9;108;0;12,6;13,5;5,8;4;10;1;0;29/03/2018;1 Est;143;4;116,5;NO
