N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;26,5;1,8;109,6;0;0;5,5;4;0;0;19/04/2018;2 Est;306;1;26,5;SO
2;76;5,5;32;0;0;1,84;5;0;0;19/04/2018;2 Est;306;1;26,5;SO
3;80;6,3;50;0;0;2,2;5;0;0;19/04/2018;2 Est;306;1;26,5;SO
1;32;7;103;0;0;2,8;5;0;0;19/04/2018;2 Est;306;2;296,5;SE
2;107;9;60;0;0;2,5;5;0;0;19/04/2018;2 Est;306;2;296,5;SE
1;35;4;52;0;0;3,9;4;0;0;19/04/2018;2 Est;306;3;206,5;NE
2;104;4,9;40;0;0;3,8;5;0;0;19/04/2018;2 Est;306;3;206,5;NE
1;37,5;3,8;60;0;0;3;5;0;0;19/04/2018;2 Est;306;4;116,5;NO
2;81;1;42;0;0;1,4;5;0;0;19/04/2018;2 Est;306;4;116,5;NO
3;95;3,6;0;58;46;0,68;3;0;0;19/04/2018;2 Est;306;4;116,5;NO
4;101;5,4;159;0;0;18;2;1;0;19/04/2018;2 Est;306;4;116,5;NO
